metric,win_start,win_end,n_arrays,n_subjects,contrast,sd,ci_lo,ci_hi,n_units,efficiency_vs_within
mmp2p:logamp,12,18,6,3,between_array,0.13301941879791476,0.021563228884272846,0.15624867042563106,3.0,4.518664885974561
mmp2p:logamp,12,18,6,3,between_array_cleanpairs,0.15098024479019767,0.15098024479019767,0.15098024479019767,1.0,5.821304176675962
mmp2p:logamp,12,18,6,3,between_subject,0.2144643408680909,0.058101267625938445,0.23497256466947525,3.0,11.746006222950108
mmp2p:logamp,12,18,6,3,mom_rho,,,,,0.2488045271745823
mmp2p:logamp,15,21,6,3,within,0.0610133083948326,0.04944287536876109,0.06904431621222311,6.0,1.0
mmp2p:logamp,15,21,6,3,between_array,0.0862530751321465,0.054632622152782355,0.08774131650813931,3.0,1.9984810087948606
mmp2p:logamp,15,21,6,3,between_array_cleanpairs,0.05900997630771258,0.05900997630771258,0.05900997630771258,1.0,0.9354094020020816
mmp2p:logamp,15,21,6,3,between_subject,0.3293534835289739,0.10710149374484297,0.37328240058892603,3.0,29.139048935131758
mmp2p:logamp,15,21,6,3,mom_rho,,,,,0.33402992892451494
mmp2p:logamp,18,24,6,3,within,0.05885082467444029,0.04749364097515053,0.06579555175284736,6.0,1.0
mmp2p:logamp,18,24,6,3,between_array,0.13316299227753783,0.06282326239157413,0.15573568831048817,3.0,5.119905971604579
mmp2p:logamp,18,24,6,3,between_array_cleanpairs,0.11530521372733002,0.11530521372733002,0.11530521372733002,1.0,3.8387761181444153
mmp2p:logamp,18,24,6,3,between_subject,0.4330053066979659,0.08730247605519523,0.5462584370132797,3.0,54.13539772392141
mmp2p:logamp,18,24,6,3,mom_rho,,,,,0.4133293735077351
mmp2p:logamp,21,27,6,3,within,0.059101430022551145,0.05207098579129966,0.06248643488154607,6.0,1.0
mmp2p:logamp,21,27,6,3,between_array,0.16010502190962317,0.046664055920526304,0.17985493206579567,3.0,7.338612060166522
mmp2p:logamp,21,27,6,3,between_array_cleanpairs,0.15837655000361617,,,1.0,7.181014077243328
mmp2p:logamp,21,27,6,3,between_subject,0.48535751444509956,0.16843320678510668,0.48535751444509956,3.0,67.4415491066968
mmp2p:logamp,21,27,6,3,mom_rho,,,,,0.4563017809287998
mmp2p:logamp,24,30,2,1,within,0.06182692510130721,0.05784607988918375,0.06556650977652743,2.0,1.0
mmp2p:logamp,24,30,2,1,between_array,0.0550039104570731,0.0550039104570731,0.0550039104570731,1.0,0.7914652237135897
mmp2p:logamp,24,30,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,24,30,2,1,between_subject,,,,0.0,
mmp2p:logamp,24,30,2,1,mom_rho,,,,,0.06670777675352663
mmp2p:logamp,27,33,3,2,within,0.060131050719612715,0.05691347357226517,0.06210433089934243,3.0,1.0
mmp2p:logamp,27,33,3,2,between_array,0.0342107544742035,0.0342107544742035,0.0342107544742035,1.0,0.32368883444605334
mmp2p:logamp,27,33,3,2,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,27,33,3,2,between_subject,,,,0.0,
mmp2p:logamp,27,33,3,2,mom_rho,,,,,0.060301645828847186
mmp2p:logamp,30,36,3,2,within,0.06308000629925259,0.051037799699548504,0.0803542389840485,3.0,1.0
mmp2p:logamp,30,36,3,2,between_array,0.07018199405770315,,,1.0,1.2378498004414347
mmp2p:logamp,30,36,3,2,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,30,36,3,2,between_subject,,,,0.0,
mmp2p:logamp,30,36,3,2,mom_rho,,,,,0.19146565139582
mmp2p:logamp,33,39,2,1,within,0.05095156342617511,0.04518425829182055,0.05595168282906643,2.0,1.0
mmp2p:logamp,33,39,2,1,between_array,,,,1.0,
mmp2p:logamp,33,39,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,33,39,2,1,between_subject,,,,0.0,
mmp2p:logamp,33,39,2,1,mom_rho,,,,,0.2092352282698604
mmp2p:logamp,51,57,2,1,within,0.0744837186470837,0.06292805860149606,0.08380113071288067,2.0,1.0
mmp2p:logamp,51,57,2,1,between_array,,,,1.0,
mmp2p:logamp,51,57,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,51,57,2,1,between_subject,,,,0.0,
mmp2p:logamp,51,57,2,1,mom_rho,,,,,
mmp2p:logamp,54,60,2,1,within,0.06142528950587467,0.04805202534467282,0.07235538751321471,2.0,1.0
mmp2p:logamp,54,60,2,1,between_array,0.07988034446475581,0.07988034446475581,0.07988034446475581,1.0,1.6911628656901314
mmp2p:logamp,54,60,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,54,60,2,1,between_subject,,,,0.0,
mmp2p:logamp,54,60,2,1,mom_rho,,,,,0.03629729457839893
mmp2p:logamp,57,63,2,1,within,0.0543066648371263,0.04552730459447535,0.06185102684133405,2.0,1.0
mmp2p:logamp,57,63,2,1,between_array,0.14556113575428692,0.14556113575428692,0.14556113575428692,1.0,7.184302444782281
mmp2p:logamp,57,63,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,57,63,2,1,between_subject,,,,0.0,
mmp2p:logamp,57,63,2,1,mom_rho,,,,,0.22167846916383255
mmp2p:logamp,60,66,2,1,within,0.050724922598386415,0.0368811785577742,0.0615107539619586,2.0,1.0
mmp2p:logamp,60,66,2,1,between_array,0.06736110187929416,0.06736110187929416,0.06736110187929416,1.0,1.7635004680849398
mmp2p:logamp,60,66,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,60,66,2,1,between_subject,,,,0.0,
mmp2p:logamp,60,66,2,1,mom_rho,,,,,0.3666326329185184
mmp2p:logamp,63,69,2,1,within,0.05431250130400797,0.04249807340130326,0.063963031567501,2.0,1.0
mmp2p:logamp,63,69,2,1,between_array,0.0018491500858129272,,,1.0,0.0011591635481324398
mmp2p:logamp,63,69,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,63,69,2,1,between_subject,,,,0.0,
mmp2p:logamp,63,69,2,1,mom_rho,,,,,0.35702376214396664
mmp2p:logamp,66,72,2,1,within,0.03564261103776446,0.01848173913549623,0.046386616763702926,2.0,1.0
mmp2p:logamp,66,72,2,1,between_array,0.04124366932463634,,,1.0,1.3389845624100563
mmp2p:logamp,66,72,2,1,between_array_cleanpairs,,,,0.0,
mmp2p:logamp,66,72,2,1,between_subject,,,,0.0,
mmp2p:logamp,66,72,2,1,mom_rho,,,,,0.12678890304056128
yield:active,0,6,8,3,within,0.016399750731386824,0.01235041959777687,0.019427199663469986,8.0,1.0
yield:active,0,6,8,3,between_array,0.032438978699702616,0.013466040711767498,0.03997797845020322,4.0,3.912549553401741
yield:active,0,6,8,3,between_array_cleanpairs,0.04282092627945544,0.04282092627945544,0.04282092627945544,1.0,6.817695823020744
yield:active,0,6,8,3,between_subject,0.05548979731631929,0.021712194730341444,0.06893813834373132,3.0,11.448584210439074
yield:active,3,9,6,3,within,0.01470539015452216,0.011802697109895803,0.017223729388433737,6.0,1.0
yield:active,3,9,6,3,between_array,0.036677276351688624,0.012908522990195216,0.05356356689778132,3.0,6.220725707169524
yield:active,3,9,6,3,between_array_cleanpairs,0.05702277140454364,0.05702277140454364,0.05702277140454364,1.0,15.036388528562075
yield:active,3,9,6,3,between_subject,0.054817992415175446,0.015316945081519717,0.06766783740141732,3.0,13.896107015929788
yield:active,6,12,6,3,within,0.017350499283835776,0.009287174055318943,0.022873740331883594,6.0,1.0
yield:active,6,12,6,3,between_array,0.09708756484100796,0.0,0.14555222088993106,3.0,31.31145599849749
yield:active,6,12,6,3,between_array_cleanpairs,0.15495217178253246,0.15495217178253246,0.15495217178253246,1.0,79.75747231566191
